datetime,id,rank
2018-03-05 06:28:50.478770,78,624
2018-03-06 01:00:31.524655,0,473
2018-03-06 01:00:31.524655,1,233
2018-03-06 01:00:31.524655,2,682
2018-03-06 01:00:31.524655,3,63
2018-03-06 01:00:31.524655,4,100
2018-03-06 01:00:31.524655,5,1386
2018-03-06 01:00:31.524655,6,7764
2018-03-06 01:00:31.524655,7,146
2018-03-06 01:00:31.524655,8,174
2018-03-06 01:00:31.524655,9,1975
2018-03-06 01:00:31.524655,10,24
2018-03-06 01:00:31.524655,11,216
2018-03-06 01:00:31.524655,12,340
2018-03-06 01:00:31.524655,13,1009
2018-03-06 01:00:31.524655,14,166
2018-03-06 01:00:31.524655,15,82
2018-03-06 01:00:31.524655,16,170
2018-03-06 01:00:31.524655,17,198
2018-03-06 01:00:31.524655,18,58
2018-03-06 01:00:31.524655,19,208
2018-03-06 01:00:31.524655,20,2705
2018-03-06 01:00:31.524655,21,10242
2018-03-06 01:00:31.524655,22,1074
2018-03-06 01:00:31.524655,23,1677
2018-03-06 01:00:31.524655,24,9502
2018-03-06 01:00:31.524655,25,4836
2018-03-06 01:00:31.524655,26,12843
2018-03-06 01:00:31.524655,27,80
2018-03-06 01:00:31.524655,28,10283
2018-03-06 01:00:31.524655,29,162
2018-03-06 01:00:31.524655,30,107
2018-03-06 01:00:31.524655,31,156
2018-03-06 01:00:31.524655,32,694
2018-03-06 01:00:31.524655,33,1304
2018-03-06 01:00:31.524655,34,33038
2018-03-06 01:00:31.524655,35,190
2018-03-06 01:00:31.524655,36,328
2018-03-06 01:00:31.524655,37,65
2018-03-06 01:00:31.524655,38,393
2018-03-06 01:00:31.524655,39,979
2018-03-06 01:00:31.524655,40,1238
2018-03-06 01:00:31.524655,41,3788
2018-03-06 01:00:31.524655,42,243
2018-03-06 01:00:31.524655,43,420
2018-03-06 01:00:31.524655,44,306
2018-03-06 01:00:31.524655,45,2928
2018-03-06 01:00:31.524655,46,1062
2018-03-06 01:00:31.524655,47,479
2018-03-06 01:00:31.524655,48,181
2018-03-06 01:00:31.524655,49,30
2018-03-06 01:00:31.524655,50,1589
2018-03-06 01:00:31.524655,52,335
2018-03-06 01:00:31.524655,53,374
2018-03-06 01:00:31.524655,54,995
2018-03-06 01:00:31.524655,55,157
2018-03-06 01:00:31.524655,56,4533
2018-03-06 01:00:31.524655,57,1982
2018-03-06 01:00:31.524655,58,7666
2018-03-06 01:00:31.524655,59,5641
2018-03-06 01:00:31.524655,60,1599
2018-03-06 01:00:31.524655,61,6386
2018-03-06 01:00:31.524655,62,93
2018-03-06 01:00:31.524655,63,294
2018-03-06 01:00:31.524655,64,242
2018-03-06 01:00:31.524655,65,129
2018-03-06 01:00:31.524655,66,817
2018-03-06 01:00:31.524655,67,948
2018-03-06 01:00:31.524655,68,109
2018-03-06 01:00:31.524655,69,78
2018-03-06 01:00:31.524655,70,978
2018-03-06 01:00:31.524655,71,1426
2018-03-06 01:00:31.524655,72,237
2018-03-06 01:00:31.524655,73,57
2018-03-06 01:00:31.524655,74,4795
2018-03-06 01:00:31.524655,75,18027
2018-03-06 01:00:31.524655,76,1100
2018-03-06 01:00:31.524655,78,618
2018-03-06 01:00:31.524655,79,1306
2018-03-06 23:22:57.580046,0,471
2018-03-06 23:22:57.580046,1,234
2018-03-06 23:22:57.580046,2,664
2018-03-06 23:22:57.580046,3,64
2018-03-06 23:22:57.580046,4,101
2018-03-06 23:22:57.580046,5,1420
2018-03-06 23:22:57.580046,6,7795
2018-03-06 23:22:57.580046,7,148
2018-03-06 23:22:57.580046,8,174
2018-03-06 23:22:57.580046,9,1983
2018-03-06 23:22:57.580046,10,24
2018-03-06 23:22:57.580046,11,212
2018-03-06 23:22:57.580046,12,335
2018-03-06 23:22:57.580046,13,1029
2018-03-06 23:22:57.580046,14,169
2018-03-06 23:22:57.580046,15,82
2018-03-06 23:22:57.580046,16,171
2018-03-06 23:22:57.580046,17,199
2018-03-06 23:22:57.580046,18,60
2018-03-06 23:22:57.580046,19,207
2018-03-06 23:22:57.580046,20,2703
2018-03-06 23:22:57.580046,21,10246
2018-03-06 23:22:57.580046,22,1057
2018-03-06 23:22:57.580046,23,1688
2018-03-06 23:22:57.580046,24,9647
2018-03-06 23:22:57.580046,25,4660
2018-03-06 23:22:57.580046,26,13389
2018-03-06 23:22:57.580046,27,80
2018-03-06 23:22:57.580046,28,10295
2018-03-06 23:22:57.580046,29,161
2018-03-06 23:22:57.580046,30,107
2018-03-06 23:22:57.580046,31,158
2018-03-06 23:22:57.580046,32,698
2018-03-06 23:22:57.580046,33,1293
2018-03-06 23:22:57.580046,34,32718
2018-03-06 23:22:57.580046,35,185
2018-03-06 23:22:57.580046,36,325
2018-03-06 23:22:57.580046,37,65
2018-03-06 23:22:57.580046,38,382
2018-03-06 23:22:57.580046,39,970
2018-03-06 23:22:57.580046,40,1237
2018-03-06 23:22:57.580046,41,3818
2018-03-06 23:22:57.580046,42,241
2018-03-06 23:22:57.580046,43,410
2018-03-06 23:22:57.580046,44,298
2018-03-06 23:22:57.580046,45,2950
2018-03-06 23:22:57.580046,46,1087
2018-03-06 23:22:57.580046,47,495
2018-03-06 23:22:57.580046,48,183
2018-03-06 23:22:57.580046,49,30
2018-03-06 23:22:57.580046,50,1577
2018-03-06 23:22:57.580046,52,333
2018-03-06 23:22:57.580046,53,384
2018-03-06 23:22:57.580046,54,972
2018-03-06 23:22:57.580046,55,159
2018-03-06 23:22:57.580046,56,4520
2018-03-06 23:22:57.580046,57,1982
2018-03-06 23:22:57.580046,58,7643
2018-03-06 23:22:57.580046,59,5725
2018-03-06 23:22:57.580046,60,1599
2018-03-06 23:22:57.580046,61,6431
2018-03-06 23:22:57.580046,62,95
2018-03-06 23:22:57.580046,63,300
2018-03-06 23:22:57.580046,64,253
2018-03-06 23:22:57.580046,65,129
2018-03-06 23:22:57.580046,66,829
2018-03-06 23:22:57.580046,67,953
2018-03-06 23:22:57.580046,68,109
2018-03-06 23:22:57.580046,69,77
2018-03-06 23:22:57.580046,70,990
2018-03-06 23:22:57.580046,71,1451
2018-03-06 23:22:57.580046,72,235
2018-03-06 23:22:57.580046,73,57
2018-03-06 23:22:57.580046,74,4725
2018-03-06 23:22:57.580046,75,17905
2018-03-06 23:22:57.580046,76,1114
2018-03-06 23:22:57.580046,78,627
2018-03-06 23:22:57.580046,79,1424
2018-03-07 07:35:15.605233,0,471
2018-03-07 07:35:15.605233,1,234
2018-03-07 07:35:15.605233,2,664
2018-03-07 07:35:15.605233,3,64
2018-03-07 07:35:15.605233,4,101
2018-03-07 07:35:15.605233,5,1420
2018-03-07 07:35:15.605233,6,7795
2018-03-07 07:35:15.605233,7,148
2018-03-07 07:35:15.605233,8,174
2018-03-07 07:35:15.605233,9,1983
2018-03-07 07:35:15.605233,10,24
2018-03-07 07:35:15.605233,11,212
2018-03-07 07:35:15.605233,12,335
2018-03-07 07:35:15.605233,13,1029
2018-03-07 07:35:15.605233,14,169
2018-03-07 07:35:15.605233,15,82
2018-03-07 07:35:15.605233,16,171
2018-03-07 07:35:15.605233,17,199
2018-03-07 07:35:15.605233,18,60
2018-03-07 07:35:15.605233,19,207
2018-03-07 07:35:15.605233,20,2703
2018-03-07 07:35:15.605233,21,10246
2018-03-07 07:35:15.605233,22,1057
2018-03-07 07:35:15.605233,23,1688
2018-03-07 07:35:15.605233,24,9647
2018-03-07 07:35:15.605233,25,4660
2018-03-07 07:35:15.605233,26,13389
2018-03-07 07:35:15.605233,27,80
2018-03-07 07:35:15.605233,28,10295
2018-03-07 07:35:15.605233,29,161
2018-03-07 07:35:15.605233,30,107
2018-03-07 07:35:15.605233,31,158
2018-03-07 07:35:15.605233,32,698
2018-03-07 07:35:15.605233,33,1293
2018-03-07 07:35:15.605233,34,32718
2018-03-07 07:35:15.605233,35,185
2018-03-07 07:35:15.605233,36,325
2018-03-07 07:35:15.605233,37,65
2018-03-07 07:35:15.605233,38,382
2018-03-07 07:35:15.605233,39,970
2018-03-07 07:35:15.605233,40,1237
2018-03-07 07:35:15.605233,41,3818
2018-03-07 07:35:15.605233,42,241
2018-03-07 07:35:15.605233,43,410
2018-03-07 07:35:15.605233,44,298
2018-03-07 07:35:15.605233,45,2950
2018-03-07 07:35:15.605233,46,1087
2018-03-07 07:35:15.605233,47,495
2018-03-07 07:35:15.605233,48,183
2018-03-07 07:35:15.605233,49,30
2018-03-07 07:35:15.605233,50,1577
2018-03-07 07:35:15.605233,52,333
2018-03-07 07:35:15.605233,53,384
2018-03-07 07:35:15.605233,54,972
2018-03-07 07:35:15.605233,55,159
2018-03-07 07:35:15.605233,56,4520
2018-03-07 07:35:15.605233,57,1982
2018-03-07 07:35:15.605233,58,7643
2018-03-07 07:35:15.605233,59,5725
2018-03-07 07:35:15.605233,60,1599
2018-03-07 07:35:15.605233,61,6431
2018-03-07 07:35:15.605233,62,95
2018-03-07 07:35:15.605233,63,300
2018-03-07 07:35:15.605233,64,253
2018-03-07 07:35:15.605233,65,129
2018-03-07 07:35:15.605233,66,829
2018-03-07 07:35:15.605233,67,953
2018-03-07 07:35:15.605233,68,109
2018-03-07 07:35:15.605233,69,77
2018-03-07 07:35:15.605233,70,990
2018-03-07 07:35:15.605233,71,1451
2018-03-07 07:35:15.605233,72,235
2018-03-07 07:35:15.605233,73,57
2018-03-07 07:35:15.605233,74,4725
2018-03-07 07:35:15.605233,75,17905
2018-03-07 07:35:15.605233,76,1114
2018-03-07 07:35:15.605233,78,627
2018-03-07 07:35:15.605233,79,1424
2018-03-07 22:17:18.107721,0,472
2018-03-07 22:17:18.107721,1,234
2018-03-07 22:17:18.107721,2,648
2018-03-07 22:17:18.107721,3,64
2018-03-07 22:17:18.107721,4,104
2018-03-07 22:17:18.107721,5,1431
2018-03-07 22:17:18.107721,6,7792
2018-03-07 22:17:18.107721,7,154
2018-03-07 22:17:18.107721,8,173
2018-03-07 22:17:18.107721,9,1972
2018-03-07 22:17:18.107721,10,24
2018-03-07 22:17:18.107721,11,211
2018-03-07 22:17:18.107721,12,333
2018-03-07 22:17:18.107721,13,1133
2018-03-07 22:17:18.107721,14,170
2018-03-07 22:17:18.107721,15,82
2018-03-07 22:17:18.107721,16,171
2018-03-07 22:17:18.107721,17,203
